inventory_id,source_tag,event_id,container_type,internal_path,asset_type,extension,file_size_bytes,sha256,has_geometry,geometry_type,crs,feature_count,has_prj,columns_detected,date_term_detected,hazard_term_detected,locality_term_detected,susceptibility_term_detected,classification,inventory_status,notes
FINV_v1uj_0030,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__921d87c7-5ace-4856-9e3f-c31521259c36__1fb07143f0b0__atendimentos-2023.csv,tabular,.csv,13777577,a51417a310b32e1bf8391746ae1d949f18de91b6029bd7ca5a8b838fb13cc029,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
FINV_v1uj_0031,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__932fee1e-80fd-49f8-9ae3-6e8dd96e33a3__ad89f839a761__atendimentos-2016.csv,tabular,.csv,15689140,b5b399d6ae6f888b536c9614b4b473c671315767458b21acc07370e534e06a0b,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
FINV_v1uj_0032,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__96b741c7-058c-445a-9c17-54b232466676__5dfe483001af__vacinacao-influenza-campanha-2021.csv,tabular,.csv,97697,b1c67ff551f25fc62f55fd84b3a3e1bab71489ae78b3178216e8f16b7b543a56,false,,,,,"tipo_unidade;""Local"";""rpa"";""distrito_sanitario"";""microregiao"";""cnes"";""cod_nat"";""tipo_servico"";""logradouro"";""bairro"";""fone"";""especialidade"";""como_usar"";""horario"";""ordem"";""latitude"";""longitude""",true,false,false,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0033,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__97622c28-79dd-4273-89a6-9958bf398ade__77cb758df71c__pesagem-de-residuos-2013.csv,tabular,.csv,28281082,85c161d081bb479bd39582bce6861fc85ceaecd6f46ec3840b8241f18d1bc25f,false,,,,,"PES_ID;""LOCDESCARREGO_ID"";""LOCDESCARREGO_DESC"";""EMP_ID"";""EMP_NOME"";""ROTA_ID"";""TPVEICULO_DESC"";""PES_DATAINI"";""PES_HRINI"";""PES_PESOINI"";""PES_DATAFIM"";""PES_HRFIM"";""PES_PESOFIM"";""PES_PESOUTIL"";""COLETA_ID"";""COLETA_DESC"";""ESPECCOLETA_ID"";""ESPECCOLETA_DESC""",true,false,false,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0034,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__9a5103f7-6bd0-4694-90d6-7e776b1e372d__a7974eb8aae4__atendimentos-2015.csv,tabular,.csv,13588085,fcf9d84cdc3e10e749005ec6ea52ede6e92a48d814647c2aac5882fc3b3b9f53,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
FINV_v1uj_0035,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__9bb859e1-19ae-4b95-9246-139b9273846f__a2c5c1723eb6__atendimentos-2019.csv,tabular,.csv,14845962,ac637a8b03aa8cca922267c9664f87b0d080ddd7f62e675edbf82a2587baab59,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
FINV_v1uj_0036,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__a2e18f69-9d10-4482-8f5f-04bc7bd2e8e7__4b006a1f45ab__atendimentos-2020.csv,tabular,.csv,11454141,db105a62b09671ac180d946edb15965b3be5d4e409379efca4f6d6bdbc8217f6,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
FINV_v1uj_0037,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__a3a25520-de12-4f56-ae05-6dc1ec4c6207__63ebbb5c6134__atendimentos-2018.csv,tabular,.csv,14955364,11ac341344957d08e4d42a6c5907b24bda74320f8c5b1183eab5ff0a7185b5a1,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
FINV_v1uj_0038,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__a48e0bec-028b-481d-a521-e04e98079268__3199719e4922__cemiterios.csv,tabular,.csv,644,e2143a556d9d4c90c25c825d4f8b8093fc64562433beb6265a982ccbb5df81d5,false,,,,,nome;endereco;bairro;latitude;longitude;ano;capacidade_jazigo;capacidade_ossuario;disponível;area,true,false,false,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0039,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__aad476ff-be01-4543-9b7e-b0d62fee1903__f5472d2271c4__atendimentos-2020.csv,tabular,.csv,11454141,db105a62b09671ac180d946edb15965b3be5d4e409379efca4f6d6bdbc8217f6,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
FINV_v1uj_0040,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__b062bad8-e130-4706-9a0c-1049ae92425c__ceb6108cde86__iluminacao-publica-do-recife-2022.csv,tabular,.csv,17765327,26261e2da5085c0982510fe4cc5ab53e3ebbfbfce4cfdca7361bfd1bc75e631f,false,,,,,"id_ponto;""sequencia"";""rpa"";""localizacao"";""endereco"";""barramento"";""latitude"";""longitude"";""bairro"";""medicao"";""tipo_luminaria"";""tipo_de_poste"";""tipo_lampada"";""qtde"";""potencia"";""perdas"";""total_carga"";""consumo_kw""",true,false,true,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0041,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__b2deb71c-6a7a-4eda-9997-c04575de5eba__c92589461715__atendimentos-2021.csv,tabular,.csv,10836516,ff5f7da5f71169f8f6f1306e8e4c4145852b4315de168c6046561bdecf1505af,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
