target_id,event_window_id,region,aoi_bbox,pre_window,post_window,sensor,collection,expected_method,requires_external_execution,gee_script_stub_path,stac_query_stub_path,output_expected,review_only
S16AS1_00078,S16AWIN_00078,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-05-31..2017-06-13,2017-06-14..2017-06-21,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00079,S16AWIN_00079,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-06-01..2017-06-14,2017-06-15..2017-06-22,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00080,S16AWIN_00080,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-06-07..2017-06-20,2017-06-21..2017-06-28,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00081,S16AWIN_00081,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-06-27..2017-07-10,2017-07-11..2017-07-18,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00082,S16AWIN_00082,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-06-29..2017-07-12,2017-07-13..2017-07-20,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00083,S16AWIN_00083,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-06-30..2017-07-13,2017-07-14..2017-07-21,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00084,S16AWIN_00084,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-12-19..2018-01-01,2018-01-02..2018-01-09,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00085,S16AWIN_00085,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-12-20..2018-01-02,2018-01-03..2018-01-10,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00086,S16AWIN_00086,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-12-21..2018-01-03,2018-01-04..2018-01-11,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00087,S16AWIN_00087,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-12-27..2018-01-09,2018-01-10..2018-01-17,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00088,S16AWIN_00088,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-12-28..2018-01-10,2018-01-11..2018-01-18,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00089,S16AWIN_00089,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-12-29..2018-01-11,2018-01-12..2018-01-19,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00090,S16AWIN_00090,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2018-01-01..2018-01-14,2018-01-15..2018-01-22,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
