footprint_id,footprint_type,eligible_for_patch_observational_evaluation,review_only,decision
S16AFP_00246,insufficient,false,true,blocked_or_context
S16AFP_00247,insufficient,false,true,blocked_or_context
S16AFP_00248,insufficient,false,true,blocked_or_context
S16AFP_00249,insufficient,false,true,blocked_or_context
S16AFP_00250,insufficient,false,true,blocked_or_context
S16AFP_00251,insufficient,false,true,blocked_or_context
S16AFP_00252,official_flood_footprint,false,true,blocked_or_context
S16AFP_00253,official_flood_footprint,false,true,blocked_or_context
S16AFP_00254,official_flood_footprint,false,true,blocked_or_context
S16AFP_00255,official_flood_footprint,false,true,blocked_or_context
S16AFP_00256,official_flood_footprint,false,true,blocked_or_context
S16AFP_00257,official_flood_footprint,false,true,blocked_or_context
S16AFP_00258,official_flood_footprint,false,true,blocked_or_context
S16AFP_00259,official_flood_footprint,false,true,blocked_or_context
S16AFP_00260,official_flood_footprint,false,true,blocked_or_context
S16AFP_00261,official_flood_footprint,false,true,blocked_or_context
S16AFP_00262,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00263,official_flood_footprint,false,true,blocked_or_context
S16AFP_00264,official_flood_footprint,false,true,blocked_or_context
S16AFP_00265,official_flood_footprint,false,true,blocked_or_context
S16AFP_00266,insufficient,false,true,blocked_or_context
S16AFP_00267,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00268,official_flood_footprint,false,true,blocked_or_context
S16AFP_00269,official_flood_footprint,false,true,blocked_or_context
S16AFP_00270,official_flood_footprint,false,true,blocked_or_context
S16AFP_00271,insufficient,false,true,blocked_or_context
S16AFP_00272,official_flood_footprint,false,true,blocked_or_context
S16AFP_00273,official_flood_footprint,false,true,blocked_or_context
S16AFP_00274,official_flood_footprint,false,true,blocked_or_context
S16AFP_00275,official_flood_footprint,false,true,blocked_or_context
S16AFP_00276,official_flood_footprint,false,true,blocked_or_context
S16AFP_00277,official_flood_footprint,false,true,blocked_or_context
S16AFP_00278,official_flood_footprint,false,true,blocked_or_context
S16AFP_00279,official_flood_footprint,false,true,blocked_or_context
S16AFP_00280,official_flood_footprint,false,true,blocked_or_context
S16AFP_00281,official_flood_footprint,false,true,blocked_or_context
S16AFP_00282,official_flood_footprint,false,true,blocked_or_context
S16AFP_00283,official_flood_footprint,false,true,blocked_or_context
S16AFP_00284,insufficient,false,true,blocked_or_context
S16AFP_00285,official_flood_footprint,false,true,blocked_or_context
S16AFP_00286,official_flood_footprint,false,true,blocked_or_context
S16AFP_00287,insufficient,false,true,blocked_or_context
S16AFP_00288,insufficient,false,true,blocked_or_context
S16AFP_00289,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00290,insufficient,false,true,blocked_or_context
S16AFP_00291,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00292,insufficient,false,true,blocked_or_context
S16AFP_00293,insufficient,false,true,blocked_or_context
S16AFP_00294,insufficient,false,true,blocked_or_context
S16AFP_00295,insufficient,false,true,blocked_or_context
S16AFP_00296,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00297,insufficient,false,true,blocked_or_context
S16AFP_00298,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00299,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00300,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00301,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00302,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00303,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00304,official_flood_footprint,false,true,blocked_or_context
S16AFP_00305,official_flood_footprint,false,true,blocked_or_context
S16AFP_00306,official_flood_footprint,false,true,blocked_or_context
S16AFP_00307,official_flood_footprint,false,true,blocked_or_context
S16AFP_00308,official_flood_footprint,false,true,blocked_or_context
S16AFP_00309,official_flood_footprint,false,true,blocked_or_context
S16AFP_00310,official_flood_footprint,true,true,eligible_review_only
S16AFP_00311,official_flood_footprint,true,true,eligible_review_only
S16AFP_00312,official_flood_footprint,false,true,blocked_or_context
S16AFP_00313,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00314,official_flood_footprint,false,true,blocked_or_context
S16AFP_00315,official_flood_footprint,false,true,blocked_or_context
