feature,feature_group,score,pearson_corr,abs_corr,collinearity_alert
urban_water_interaction,interaction,score_umidade_antecedente_v5,0.268366,0.268366,False
urban_water_interaction,interaction,score_impulso_chuva_v5,0.399907,0.399907,False
urban_water_interaction,interaction,score_evento_enchente_potencial_v5_core,0.396182,0.396182,False
urban_drainage_interaction,interaction,score_predisposicao_hidrotopografica_v5,0.340845,0.340845,False
urban_drainage_interaction,interaction,score_gatilho_hidroclimatico_v5,0.396995,0.396995,False
urban_drainage_interaction,interaction,score_amplificacao_urbana_v5,0.504917,0.504917,False
urban_drainage_interaction,interaction,score_superficie_optica_v5_diagnostic,0.487657,0.487657,False
urban_drainage_interaction,interaction,score_umidade_antecedente_v5,0.359829,0.359829,False
urban_drainage_interaction,interaction,score_impulso_chuva_v5,0.403439,0.403439,False
urban_drainage_interaction,interaction,score_evento_enchente_potencial_v5_core,0.529928,0.529928,False
