outlier_score_id,experiment_id,unified_patch_id,outlier_score,outlier_rank,outlier_reason,review_only
S18B_OUT_00247,EXP05_outlier_distance_to_centroid,S18A_PATCH_0247,1.591229,313,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00248,EXP05_outlier_distance_to_centroid,S18A_PATCH_0248,1.766356,305,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00249,EXP05_outlier_distance_to_centroid,S18A_PATCH_0249,2.997908,155,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00250,EXP05_outlier_distance_to_centroid,S18A_PATCH_0250,2.183892,246,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00251,EXP05_outlier_distance_to_centroid,S18A_PATCH_0251,1.949217,281,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00252,EXP05_outlier_distance_to_centroid,S18A_PATCH_0252,1.963092,280,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00253,EXP05_outlier_distance_to_centroid,S18A_PATCH_0253,2.382657,222,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00254,EXP05_outlier_distance_to_centroid,S18A_PATCH_0254,2.384749,220,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00255,EXP05_outlier_distance_to_centroid,S18A_PATCH_0255,2.999302,154,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00256,EXP05_outlier_distance_to_centroid,S18A_PATCH_0256,3.275722,123,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00257,EXP05_outlier_distance_to_centroid,S18A_PATCH_0257,2.273363,235,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00258,EXP05_outlier_distance_to_centroid,S18A_PATCH_0258,3.104134,138,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00259,EXP05_outlier_distance_to_centroid,S18A_PATCH_0259,3.313874,121,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00260,EXP05_outlier_distance_to_centroid,S18A_PATCH_0260,5.103805,54,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00261,EXP05_outlier_distance_to_centroid,S18A_PATCH_0261,2.870254,172,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00262,EXP05_outlier_distance_to_centroid,S18A_PATCH_0262,2.042756,269,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00263,EXP05_outlier_distance_to_centroid,S18A_PATCH_0263,2.879939,170,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00264,EXP05_outlier_distance_to_centroid,S18A_PATCH_0264,3.083226,143,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00265,EXP05_outlier_distance_to_centroid,S18A_PATCH_0265,2.601337,200,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00266,EXP05_outlier_distance_to_centroid,S18A_PATCH_0266,2.608565,198,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00267,EXP05_outlier_distance_to_centroid,S18A_PATCH_0267,2.726889,186,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00268,EXP05_outlier_distance_to_centroid,S18A_PATCH_0268,2.947842,156,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00269,EXP05_outlier_distance_to_centroid,S18A_PATCH_0269,2.309841,229,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00270,EXP05_outlier_distance_to_centroid,S18A_PATCH_0270,3.004723,153,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00271,EXP05_outlier_distance_to_centroid,S18A_PATCH_0271,2.787736,178,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00272,EXP05_outlier_distance_to_centroid,S18A_PATCH_0272,1.993235,276,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00273,EXP05_outlier_distance_to_centroid,S18A_PATCH_0273,2.170233,250,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00274,EXP05_outlier_distance_to_centroid,S18A_PATCH_0274,2.373061,224,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00275,EXP05_outlier_distance_to_centroid,S18A_PATCH_0275,3.940807,88,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00276,EXP05_outlier_distance_to_centroid,S18A_PATCH_0276,4.436515,73,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00277,EXP05_outlier_distance_to_centroid,S18A_PATCH_0277,4.446121,72,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00278,EXP05_outlier_distance_to_centroid,S18A_PATCH_0278,2.297085,232,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00279,EXP05_outlier_distance_to_centroid,S18A_PATCH_0279,2.075873,264,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00280,EXP05_outlier_distance_to_centroid,S18A_PATCH_0280,2.444187,215,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00281,EXP05_outlier_distance_to_centroid,S18A_PATCH_0281,1.932514,283,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00282,EXP05_outlier_distance_to_centroid,S18A_PATCH_0282,2.034558,270,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00283,EXP05_outlier_distance_to_centroid,S18A_PATCH_0283,1.906122,286,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00284,EXP05_outlier_distance_to_centroid,S18A_PATCH_0284,2.590089,201,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00285,EXP05_outlier_distance_to_centroid,S18A_PATCH_0285,5.496406,48,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00286,EXP05_outlier_distance_to_centroid,S18A_PATCH_0286,11.715802,6,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00287,EXP05_outlier_distance_to_centroid,S18A_PATCH_0287,2.290306,233,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00288,EXP05_outlier_distance_to_centroid,S18A_PATCH_0288,2.261463,237,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00289,EXP05_outlier_distance_to_centroid,S18A_PATCH_0289,2.189239,245,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
