scene_index_stat_id,candidate_patch_id,scene_or_item_id,scene_date,index_name,stat_name,stat_value,cloud_cover,source_artifact_manifest_id,feature_value_real,pre_event_only,review_only,trainable,ground_truth
S17C24_SINDEX_0063,S17C6_CANARY_REC_00002,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDVI,max,0.857597,79.7725,S17C24_MANIFEST_0006_A,true,true,true,false,false
S17C24_SINDEX_0064,S17C6_CANARY_REC_00002,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDWI,mean,-0.132585,79.7725,S17C24_MANIFEST_0006_A,true,true,true,false,false
S17C24_SINDEX_0065,S17C6_CANARY_REC_00002,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDWI,min,-0.762874,79.7725,S17C24_MANIFEST_0006_A,true,true,true,false,false
S17C24_SINDEX_0066,S17C6_CANARY_REC_00002,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDWI,max,0.060513,79.7725,S17C24_MANIFEST_0006_A,true,true,true,false,false
S17C24_SINDEX_0067,S17C6_CANARY_REC_00002,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,MNDWI,mean,-0.042059,79.7725,S17C24_MANIFEST_0006_A,true,true,true,false,false
S17C24_SINDEX_0068,S17C6_CANARY_REC_00002,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,MNDWI,min,-0.688889,79.7725,S17C24_MANIFEST_0006_A,true,true,true,false,false
S17C24_SINDEX_0069,S17C6_CANARY_REC_00002,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,MNDWI,max,0.303220,79.7725,S17C24_MANIFEST_0006_A,true,true,true,false,false
S17C24_SINDEX_0070,S17C6_CANARY_REC_00002,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDBI,mean,-0.098649,79.7725,S17C24_MANIFEST_0006_A,true,true,true,false,false
S17C24_SINDEX_0071,S17C6_CANARY_REC_00002,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDBI,min,-0.535302,79.7725,S17C24_MANIFEST_0006_A,true,true,true,false,false
S17C24_SINDEX_0072,S17C6_CANARY_REC_00002,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDBI,max,0.439855,79.7725,S17C24_MANIFEST_0006_A,true,true,true,false,false
S17C24_SINDEX_0073,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDVI,mean,0.253900,60.5460,S17C24_MANIFEST_0007_A,true,true,true,false,false
S17C24_SINDEX_0074,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDVI,min,-0.154452,60.5460,S17C24_MANIFEST_0007_A,true,true,true,false,false
S17C24_SINDEX_0075,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDVI,max,0.844691,60.5460,S17C24_MANIFEST_0007_A,true,true,true,false,false
S17C24_SINDEX_0076,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDWI,mean,-0.220956,60.5460,S17C24_MANIFEST_0007_A,true,true,true,false,false
S17C24_SINDEX_0077,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDWI,min,-0.755570,60.5460,S17C24_MANIFEST_0007_A,true,true,true,false,false
S17C24_SINDEX_0078,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDWI,max,0.076053,60.5460,S17C24_MANIFEST_0007_A,true,true,true,false,false
S17C24_SINDEX_0079,S17C6_CANARY_REC_00003,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,MNDWI,mean,-0.152673,60.5460,S17C24_MANIFEST_0007_A,true,true,true,false,false
