file_path,matched_terms,region_guess,evidence_type_guess,has_date_guess,has_geometry_guess,candidate_status,notes
outputs_public/execution_reports/arquivo_etapas/v2ax_recife_geometry_intake_pack_report.md,ANA;Protocolo C;Recife;evento,recife,unknown,false,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/v2ax_recife_geometry_intake_pack_summary.json,Protocolo C;Recife,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/v2ay_event_scope_reconciliation_turning_point_report.md,Petropolis;Recife;evento,multi,unknown,false,false,documentary_context,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/v2ay_event_scope_reconciliation_turning_point_summary.json,Protocolo C;Recife,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/v2bc_recife_gis_digitization_workbench_summary.json,Recife,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/v2bf_recife_observed_event_polygon_tp2_summary.json,Recife,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/v2bg_charter758_deep_product_mining_tp2_recovery_summary.json,Recife,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/v2bh_charter758_recife_product_georeferencing_digitization_report.md,Recife,recife,unknown,false,true,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/v2bh_charter758_recife_product_georeferencing_digitization_summary.json,Recife,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/logs_summary/guardrail_validation_summary.txt,evento,recife,unknown,true,false,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/logs_summary/protocol_c_cross_region_status_summary.md,Curitiba;Petrópolis;Protocolo C;Recife,multi,unknown,true,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/logs_summary/protocol_c_current_status_summary.md,ANA;APAC;CEMADEN;Curitiba;Petrópolis;Protocolo C;Recife;evento,multi,mass_movement,true,false,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/logs_summary/revp_v2ez_to_v2ff_resumo_testes.csv,ANA,multi,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/logs_summary/test_repair_final_summary.txt,ANA,unknown,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
