local_geometry_id,source_path,region,municipality,source_name,source_type,event_type,event_date,event_period_start,event_period_end,geometry_type,lat,lon,bbox,wkt,geojson_ref,crs,evidence_tier,source_confidence,parse_confidence,is_direct_event_geometry,is_flood_footprint,is_risk_area,is_susceptibility_reference,calibration_eligible_candidate,review_only,notes
S16ALOCG_00101,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_52_metadata.json,curitiba,curitiba,layer_52_metadata.json,non_event_context,context,,,,Feature Layer,,,,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00102,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_53_metadata.json,curitiba,curitiba,layer_53_metadata.json,non_event_context,context,,,,Feature Layer,,,,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00103,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_53_Sub-Bacia_Hidrográfica.geojson,curitiba,curitiba,layer_53_Sub-Bacia_Hidrográfica.geojson,non_event_context,context,,,,Polygon,,,-49.59175538;-25.68044919;-49.11333955;-25.22769557,,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_53_Sub-Bacia_Hidrográfica.geojson,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00104,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_54_Bacia_Hidrografica.geojson,curitiba,curitiba,layer_54_Bacia_Hidrografica.geojson,non_event_context,context,,,,Polygon,,,-49.59175538;-25.68044919;-49.11333955;-25.22769557,,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_54_Bacia_Hidrografica.geojson,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00105,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_54_metadata.json,curitiba,curitiba,layer_54_metadata.json,non_event_context,context,,,,Feature Layer,,,,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00106,PROJECT_ROOT/data/raw/curitiba/geodc_defesa_civil/zee_inundacoes_ocorrencia_curitiba.geojson,curitiba,curitiba,zee_inundacoes_ocorrencia_curitiba.geojson,official_flood_footprint_candidate,flood,,,,Polygon,,,-49.38965546;-25.64503507;-49.18509436;-25.34537551,,PROJECT_ROOT/data/raw/curitiba/geodc_defesa_civil/zee_inundacoes_ocorrencia_curitiba.geojson,EPSG:4326_or_source_unknown,T0_local_official_flood_footprint,medium,medium,true,true,false,false,true,true,sem data explicita extraida; elegibilidade permanece candidata review-only
S16ALOCG_00107,PROJECT_ROOT/data/raw/curitiba/geodc_defesa_civil/zee_inundacoes_ocorrencia_metadata.json,curitiba,curitiba,zee_inundacoes_ocorrencia_metadata.json,official_flood_footprint_candidate,flood,,,,Feature Layer,,,,,,EPSG:4326_or_source_unknown,T0_local_official_flood_footprint,medium,low,true,true,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00108,PROJECT_ROOT/data/raw/curitiba/sgb_cprm/extracted/08.Isoietas/Atlas Pluviometrico/Isoietas Anuais Medias/pma.aux.xml,curitiba,curitiba,pma.aux.xml,non_event_context,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00109,PROJECT_ROOT/data/raw/curitiba/sgb_cprm/extracted/08.Isoietas/Atlas Pluviometrico/Isoietas Anuais Medias/pma.tif.aux.xml,curitiba,curitiba,pma.tif.aux.xml,non_event_context,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00110,PROJECT_ROOT/data/raw/curitiba/sgb_cprm/extracted/08.Isoietas/Atlas Pluviometrico/Isoietas Anuais Medias/pma/metadata.xml,curitiba,curitiba,metadata.xml,non_event_context,context,,,,,,,json_parse_failed,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
