reference_feature_id,region,source_id,feature_type,name,normalized_name,neighborhood,normalized_neighborhood,geometry_type,lat,lon,bbox,wkt,geojson_ref,crs,source_confidence,parse_confidence,review_only
S14AFEAT_000267,recife,S14AREF_0012,address_point,"Rua Monsenhor João Olimpio dos Santos, nº 30",rua monsenhor joao olimpio dos santos,Ibura,ibura,point,-8.108611,-34.942649,-34.942649;-8.108611;-34.942649;-8.108611,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000268,recife,S14AREF_0012,address_point,"Rua Monsenhor João Olimpio dos Santos, nº 555",rua monsenhor joao olimpio dos santos,Ibura,ibura,point,-8.108656,-34.942595,-34.942595;-8.108656;-34.942595;-8.108656,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000269,recife,S14AREF_0012,address_point,"Rua Monsenhor João Olimpio dos Santos, nº 10",rua monsenhor joao olimpio dos santos,Ibura,ibura,point,-8.108701,-34.942623,-34.942623;-8.108701;-34.942623;-8.108701,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000270,recife,S14AREF_0012,address_point,"Rua Monsenhor João Olimpio dos Santos, nº S/N",rua monsenhor joao olimpio dos santos s n,Ibura,ibura,point,-8.108765,-34.94265,-34.94265;-8.108765;-34.94265;-8.108765,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000271,recife,S14AREF_0012,address_point,"Rua Monsenhor João Olimpio dos Santos, nº S/N",rua monsenhor joao olimpio dos santos s n,Ibura,ibura,point,-8.10852,-34.942722,-34.942722;-8.10852;-34.942722;-8.10852,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000272,recife,S14AREF_0012,address_point,"Rua Monsenhor João Olimpio dos Santos, nº S/N",rua monsenhor joao olimpio dos santos s n,Ibura,ibura,point,-8.108601,-34.942749,-34.942749;-8.108601;-34.942749;-8.108601,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000273,recife,S14AREF_0012,address_point,"Rua Monsenhor João Olimpio dos Santos, nº 92",rua monsenhor joao olimpio dos santos,Ibura,ibura,point,-8.10861,-34.942795,-34.942795;-8.10861;-34.942795;-8.10861,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000274,recife,S14AREF_0012,address_point,"Rua Monsenhor João Olimpio dos Santos, nº S/N",rua monsenhor joao olimpio dos santos s n,Ibura,ibura,point,-8.108574,-34.942803,-34.942803;-8.108574;-34.942803;-8.108574,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000275,recife,S14AREF_0012,address_point,"Rua Monsenhor João Olimpio dos Santos, nº S/N",rua monsenhor joao olimpio dos santos s n,Ibura,ibura,point,-8.108601,-34.942749,-34.942749;-8.108601;-34.942749;-8.108601,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000276,recife,S14AREF_0012,address_point,"Rua Monsenhor João Olimpio dos Santos, nº 82",rua monsenhor joao olimpio dos santos,Ibura,ibura,point,-8.108692,-34.942804,-34.942804;-8.108692;-34.942804;-8.108692,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000277,recife,S14AREF_0012,address_point,"Rua Monsenhor João Olimpio dos Santos, nº 82A",rua monsenhor joao olimpio dos santos,Ibura,ibura,point,-8.108701,-34.942804,-34.942804;-8.108701;-34.942804;-8.108701,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000278,recife,S14AREF_0012,address_point,"Rua Monsenhor João Olimpio dos Santos, nº 83",rua monsenhor joao olimpio dos santos,Ibura,ibura,point,-8.10879,-34.94295,-34.94295;-8.10879;-34.94295;-8.10879,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
