station_id,station_code,station_name,uf,latitude,longitude,region_candidate,source_file,review_only,notes
V1SI_ST_a133,a133,VELOCIDADE HORARIA (m/s);,UF:;,7886111.000000,28833333.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a134,a134,VELOCIDADE HORARIA (m/s);,UF:;,125207.000000,61246.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a144,a144,VELOCIDADE HORARIA (m/s);,UF:;,911111.000000,38055554.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a242,a242,VELOCIDADE HORARIA (m/s);,UF:;,81361111.000000,8625.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a244,a244,VELOCIDADE HORARIA (m/s);,UF:;,69416666.000000,40388888.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a249,a249,VELOCIDADE HORARIA (m/s);,UF:;,3502.000000,88763.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a251,a251,VELOCIDADE HORARIA (m/s);,UF:;,567833.000000,823528.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a303,a303,VELOCIDADE HORARIA (m/s);,UF:;,55111111.000000,77027777.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a323,a323,VELOCIDADE HORARIA (m/s);,UF:;,74922.000000,430765.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a327,a327,VELOCIDADE HORARIA (m/s);,UF:;,42027777.000000,62027777.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a353,a353,VELOCIDADE HORARIA (m/s);,UF:;,80444444.000000,61916666.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a355,a355,VELOCIDADE HORARIA (m/s);,UF:;,1286111.000000,28638888.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a356,a356,VELOCIDADE HORARIA (m/s);,UF:;,287481.000000,565878.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a371,a371,VELOCIDADE HORARIA (m/s);,UF:;,62222221.000000,76722221.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a401,a401,VELOCIDADE HORARIA (m/s);,UF:;,5515.000000,50576.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a402,a402,VELOCIDADE HORARIA (m/s);,UF:;,12472221.000000,2694443.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a404,a404,VELOCIDADE HORARIA (m/s);,UF:;,152394.000000,829745.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a405,a405,VELOCIDADE HORARIA (m/s);,UF:;,73944444.000000,25861111.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a406,a406,VELOCIDADE HORARIA (m/s);,UF:;,67555554.000000,8944444.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a407,a407,VELOCIDADE HORARIA (m/s);,UF:;,527828.000000,119752.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a408,a408,VELOCIDADE HORARIA (m/s);,UF:;,52416666.000000,29972221.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a410,a410,VELOCIDADE HORARIA (m/s);,UF:;,658803.000000,181438.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a412,a412,VELOCIDADE HORARIA (m/s);,UF:;,13166666.000000,35416666.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
